                                   name  last-ACC           BWT  lACC-per(100%KD)  lACC-rel_per  BWT-per(100%KD)  BWT-rel_per
     deterministic_m:1.5_S:cycle_dp:0.4    0.6330 -1.013333e-02        103.634578     70.241287    -2.303030e+02    86.509901
deterministic_m:1.0_S:ten_to_ten_dp:0.8    0.6324 -8.666667e-03        103.536346     71.045576    -1.969697e+02    87.871287
 deterministic_m:1.5_S:first_end_dp:0.8    0.6292 -1.733333e-03        103.012443     75.335121    -3.939394e+01    94.306931
       deterministic_m:2.0_S:end_dp:0.8    0.6271 -6.240000e-02        102.668631     78.150134    -1.418182e+03    37.995050
     deterministic_m:1.0_S:cycle_dp:0.8    0.6262  6.666667e-04        102.521284     79.356568     1.515152e+01    96.534653
deterministic_m:1.5_S:ten_to_ten_dp:0.6    0.6233 -9.866667e-03        102.046496     83.243968    -2.242424e+02    86.757426
     deterministic_m:2.0_S:first_dp:0.8    0.6204 -1.533333e-02        101.571709     87.131367    -3.484848e+02    81.683168
     deterministic_m:1.5_S:first_dp:0.8    0.6158 -1.506667e-02        100.818599     93.297587    -3.424242e+02    81.930693
deterministic_m:2.0_S:ten_to_ten_dp:0.6    0.6154 -1.080000e-02        100.753111     93.833780    -2.454545e+02    85.891089
       deterministic_m:1.0_S:all_dp:1.0    0.6108  4.400000e-03        100.000000    100.000000     1.000000e+02   100.000000
     deterministic_m:1.5_S:cycle_dp:0.6    0.6010 -2.400000e-03         98.395547    113.136729    -5.454545e+01    93.688119
deterministic_m:1.5_S:ten_to_ten_dp:0.8    0.5967 -9.600000e-03         97.691552    118.900804    -2.181818e+02    87.004950
     deterministic_m:2.0_S:cycle_dp:0.4    0.5923 -1.133333e-02         96.971185    124.798928    -2.575758e+02    85.396040
     deterministic_m:1.5_S:cycle_dp:0.8    0.5877 -8.800000e-03         96.218075    130.965147    -2.000000e+02    87.747525
deterministic_m:2.0_S:ten_to_ten_dp:0.8    0.5851 -8.666667e-03         95.792403    134.450402    -1.969697e+02    87.871287
     deterministic_m:2.0_S:cycle_dp:0.6    0.5778 -1.440000e-02         94.597250    144.235925    -3.272727e+02    82.549505
     deterministic_m:2.0_S:cycle_dp:0.8    0.5721 -1.146667e-02         93.664047    151.876676    -2.606061e+02    85.272277
       deterministic_m:1.5_S:all_dp:1.0    0.5707  1.466667e-03         93.434840    153.753351     3.333333e+01    97.277228
       deterministic_m:2.0_S:all_dp:1.0    0.5563 -1.200000e-03         91.077276    173.056300    -2.727273e+01    94.801980
